ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573748841233408384,17.242817,0.0010133179132988286,16.524435,0.007801311064225501,17.766571,0.01048559207573544,,,,1763.45992759373,270.9913485447298,00561875+8505076,14.928,0.111,14.078323099120002,85.08548829258001,0.9,1.242136,0.013069357118830791,-2.9302197
573748879889832192,15.930809,0.0007265243636632739,15.324408,0.0038083560385147766,16.3846,0.004468137509245035,,1.094602,0.1919055,1704.24506349013,137.1694362471601,00552181+8505154,14.226,0.06,13.84087532209,85.08761355619,1.0,1.0601921,0.005870930805043983,-2.3005018
573749979401455360,15.83839,0.0005453847632283166,15.301881,0.0016233009174313813,16.227457,0.0038948919989561822,,1.2922819,0.19766927,1804.4820188971,119.34224046076997,00594428+8507575,14.191,0.058,14.934492731620002,85.13263457603,1.0,0.9255762,0.004219631447421261,-2.7128925
573750254279357440,16.078249,0.0006182232722422714,15.513715,0.002551220209038901,16.493532,0.004745100874548987,0.467,1.1440191,0.20921183,1877.39702186898,154.19014728338016,00580406+8509042,14.489,0.087,14.516650651329998,85.15119078162,0.9,0.9798174,0.005387458293541961,-2.7493467
573750426078043136,16.412167,0.0007225560203202073,15.826969,0.0022573144677183175,16.850866,0.0063808313904819385,0.3775,0.87568235,0.19204068,1867.46151399385,195.6012323640698,00584634+8510505,14.674,0.102,14.693018097160001,85.18068118003,1.0,1.0238972,0.006768343803319251,-2.917965
573750559220352768,17.254595,0.000957781099180172,16.57394,0.006617339771357451,17.802383,0.011142682279886146,,,,1863.84640302574,305.76640935985006,00560347+8508586,15.169,0.156,14.014774894989998,85.14959687814999,1.0,1.2284431,0.012959496673871166,-2.9933462
573750804035167488,15.933228,0.0005199441423734231,15.390224,0.002076748078288109,16.32454,0.004009166442044691,0.4163,1.2096006,0.20865548,1814.51097645151,140.04113794073987,00545398+8509268,14.343,0.07,13.7250777451,85.15745110550999,1.0,0.9343147,0.004515118840151457,-2.7749605
573750804035168128,16.87417,0.0008985400435151625,16.246834,0.00590942030489041,17.359718,0.006620253768726524,0.3147,0.47608244,0.11650437,1700.51867790336,208.2869880009,00544303+8509156,14.88,0.102,13.679310533039999,85.15433999906,1.0,1.1128845,0.008874063798631877,-3.0462666
573750941474117248,16.181843,0.0006337271482715071,15.616391,0.0027202972731609717,16.602865,0.004294430527136601,0.4717,1.2250739,0.2787602,2013.00687425145,215.03137590530014,00544707+8510385,14.592,0.086,13.69648264599,85.17734696710001,1.0,0.98647404,0.005083517562354808,-2.8279781
573751353790973184,17.269297,0.0011240504937509513,16.603197,0.005205992368783166,17.785786,0.012377584353822059,,,,1848.41962220136,313.6400580212701,00553723+8511537,15.479,0.203,13.905025944470001,85.19824608949,0.9,1.1825886,0.013427842379913804,-3.1800022
