KIC ID|RA Dec
KIC 2580869|292.5282693272975 +37.8559403536669
KIC 2581394|292.6481901860362 +37.8799572567890
KIC 2581533|292.6856451305942 +37.8837575055503
KIC 2581583|292.6969576791221 +37.8011803012600
KIC 2582178|292.8249432075811 +37.8660298264527
KIC 2582764|292.9412320906890 +37.8899947558729
KIC 2583386|293.0827770984167 +37.8593349922506
KIC 2583651|293.1428338594449 +37.8135917842326
KIC 2583884|293.1928031772532 +37.8569014792053
KIC 2584189|293.2606024584491 +37.8270861447837
KIC 2584202|293.2632817093340 +37.8160701234231
KIC 2584477|293.3214599356545 +37.8220158754588
KIC 2584478|293.3215370161113 +37.8997930071541
KIC 2584997|293.4429860240684 +37.8031591572156
KIC 2585190|293.4836552835299 +37.8733199514608
KIC 2585358|293.5163587289027 +37.8569111032519
KIC 2692189|285.5925685395171 +37.9249909369419
KIC 2692438|285.6804981558547 +37.9993029048697
KIC 2692629|285.7529198489422 +37.9860073398517
KIC 2693261|285.9576432115753 +37.9295284940172
KIC 2693967|286.1865999155444 +37.9556745882245
KIC 2695267|286.5804738322228 +37.9448463952933
KIC 2695336|286.6009527018834 +37.9176821733922
KIC 2695592|286.6893484082855 +37.9029616934661
KIC 2695975|286.8162979553416 +37.9418685880092
KIC 2696115|286.8690880187659 +37.9521700866155
KIC 2696628|287.0330383727446 +37.9683188557266
KIC 2696732|287.0668802910660 +37.9514621695985
KIC 2696739|287.0694023271857 +37.9178519497219
KIC 2696955|287.1405326427454 +37.9102066323352
KIC 2697082|287.1750599163835 +37.9388946079237
KIC 2697306|287.248990 +37.922569
KIC 2697501|287.3182348713564 +37.9010300397602
KIC 2697907|287.4588185146935 +37.9854503277365
KIC 2706683|289.9417302780313 +37.9477994165411
KIC 2708270|290.3142719061165 +37.9480145051780
KIC 2708445|290.3568562232804 +37.9387623552974
KIC 2708803|290.4520072045187 +37.9634359410702
KIC 2709230|290.5529640368467 +37.9700178151582
KIC 2709587|290.6401343826037 +37.9738985764028
KIC 2709625|290.6494168150004 +37.9169769633291
KIC 2709877|290.7108200984997 +37.9288352628007
KIC 2710002|290.7402332211775 +37.9351295264494
KIC 2710171|290.7861611314334 +37.9178451723522
KIC 2710194|290.7913137521621 +37.9291101866287
KIC 2710472|290.8578514743177 +37.9250891097944
KIC 2711035|290.9966549449862 +37.9425272761975
KIC 2711123|291.0152875861384 +37.9677635917859
KIC 2711432|291.0881011592725 +37.9705868126311
KIC 2711477|291.0980620687795 +37.9971013195774
KIC 2712313|291.2790355467646 +37.9102513220469
KIC 2712534|291.3251108444875 +37.9475397633797
KIC 2712761|291.3746697225384 +37.9877526588631
KIC 2713172|291.4669074313047 +37.9175729037191
KIC 2713278|291.4906148039974 +37.9071604563193
KIC 2713305|291.4942032843279 +37.9625527779077
KIC 2713345|291.5047613662947 +37.9243821524681
KIC 2713391|291.5166131400678 +37.9680522940618
KIC 2713674|291.574920 +37.905392
KIC 2713894|291.6204897548229 +37.9714756380481
KIC 2714090|291.6617242410442 +37.9792958418314
KIC 2714108|291.6656207447966 +37.9047393453013
KIC 2714397|291.7288087128839 +37.9416445904550
KIC 2714470|291.7467287988542 +37.9979949215542
KIC 2714785|291.8223364042777 +37.9230284218946
KIC 2715523|291.9934288571728 +37.9613529151649
KIC 2715920|292.0819391252729 +37.9135919966156
KIC 2715975|292.0924008655773 +37.9848300663306
KIC 2716376|292.1689127576856 +37.9823613281123
